1,"{""name""=>""One Month FREE! Amazing Brand New Apt in coral gables! 1/2/3 Beds!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/one-month-free-amazing-brand/6494490355.html""}"
2,"{""name""=>""2br+spacious upstairs LOFT/2ba! Newly renovated, all amenities!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2brspacious-upstairs-loft-2ba/6495110926.html""}"
3,"{""name""=>""2br+spacious upstairs LOFT/2ba! Newly renovated, all amenities!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2brspacious-upstairs-loft-2ba/6495147962.html""}"
4,"{""name""=>""2br/2ba Palm Beach Gardens! Gym, pools, jogging track, dog park, lake"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2br-2ba-palm-beach-gardens/6485781768.html""}"
5,"{""name""=>""►SPACIOUS CONDO W/CITY VIEW***"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/spacious-condo-city-view/6497610781.html""}"
6,"{""name""=>""Active 55+ Adult Luxury Living! Breakfast, classes, games, cocktails"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/active-55-adult-luxury-living/6481277790.html""}"
7,"{""name""=>""2 bedroom - Business Center, Private Entrance to Every Home, View"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2-bedroom-business-center/6497725150.html""}"
8,"{""name""=>""3br/2ba ABACOA, JUPITER! 3rd floor unit, all amenities, pet friendly"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/3br-2ba-abacoa-jupiter-3rd/6467899064.html""}"
9,"{""name""=>""2br/2ba in West Palm Beach! Beautiful well maintaned apartments!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2br-2ba-in-west-palm-beach/6476276837.html""}"
10,"{""name""=>""►►► HURRY BEFORE ITS GONE 2bed/2.5bath NORTH LAUDERDALE:"", ""link""=>""https://miami.craigslist.org/brw/apa/d/hurry-before-its-gone-2bed/6497724834.html""}"
11,"{""name""=>""SINGLE FAMILY FOR RENT * PLANTATION"", ""link""=>""https://miami.craigslist.org/brw/apa/d/single-family-for-rent/6497724657.html""}"
12,"{""name""=>""Gated Mediterranean Style Condominium with Pool / Gym"", ""link""=>""https://miami.craigslist.org/brw/apa/d/gated-mediterranean-style/6497724580.html""}"
13,"{""name""=>""Direct access one car garage, Vaulted ceilings, Patio or Balcony"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/direct-access-one-car-garage/6483080180.html""}"
14,"{""name""=>""BEST APARTMENTS IN WEST PALM BEACH WITH LUXURY AMENITIES"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/best-apartments-in-west-palm/6475958866.html""}"
15,"{""name""=>""2bed/1.5 baths Direct Ocean View!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/2bed-15-baths-direct-ocean/6497724308.html""}"
16,"{""name""=>""NEW LUXURY 2/2 IN MIDTOWN **ONLY $500.00 DEPOSIT*FAST APPROVAL**"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/new-luxury-2-2-in-midtown/6478178354.html""}"
17,"{""name""=>""Spacious Townhouse with 3/2.5 for rent near Kendall Lakes!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/spacious-townhouse-with-3-25/6497723898.html""}"
18,"{""name""=>""Beautiful 3bed/3bath Art Deco House"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/beautiful-3bed-3bath-art-deco/6497723875.html""}"
19,"{""name""=>""2br+spacious upstairs LOFT/2ba! Newly renovated, all amenities!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2brspacious-upstairs-loft-2ba/6495126794.html""}"
20,"{""name""=>""*** ONLY $99 DEPOSIT *** FAST APPROVAL *** NEW BUILDING ***"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/only-99-deposit-fast-approval/6497709164.html""}"
21,"{""name""=>""GORGEOUS 2/2 FULY FURNISHED WITH W/D, PARKING, GYM, POOL, ..ETC..."", ""link""=>""https://miami.craigslist.org/mdc/apa/d/gorgeous-2-2-fuly-furnished/6492315415.html""}"
22,"{""name""=>""CHARMING 2/2 IN AVENTURA W/D , GREAT AMENETIES, PARKING, NO DEPOSIT"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/charming-2-2-in-aventura-d/6473590368.html""}"
23,"{""name""=>""BEAUTIFUL  2 BED 2 FULL BATHROOM"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/beautiful-2-bed-2-full/6497723233.html""}"
24,"{""name""=>""GORGEOUS 2/2 WITH W/D , PARKING, POOL, GYM.. ( ONLY $600 DEPOSIT )"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/gorgeous-2-2-with-d-parking/6492312125.html""}"
25,"{""name""=>""Veranda Condominum of Plantation"", ""link""=>""https://miami.craigslist.org/brw/apa/d/veranda-condominum-of/6497722828.html""}"
26,"{""name""=>""CHARMING 2/1 WITH POOL,GYM, PARKING*LOW DEPOSIT**"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/charming-2-1-with-poolgym/6465432938.html""}"
27,"{""name""=>""Beautiful 2 bedroom town home at JOYA!!!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/beautiful-2-bedroom-town-home/6485410580.html""}"
28,"{""name""=>""Lake Clarke Terrace 2 bed, 2 bath, 1 car garage den/office/bedroom"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/lake-clarke-terrace-2-bed-2/6478100247.html""}"
29,"{""name""=>""FOR RENT 3/2.5 TOWNHOUSE, WOOD FLOORS, NEW AC, NEW APPLIANCES - READY!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/for-rent-3-25-townhouse-wood/6466792443.html""}"
30,"{""name""=>""NICE,CLEAN 2 BED / 1 BATH SINGLE FAMILY HOUSE FOR RENT"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/niceclean-2-bed-1-bath-single/6466508154.html""}"
31,"{""name""=>""►►► CORAL SPRINGS: GREAT UNIT 3Bedrooms"", ""link""=>""https://miami.craigslist.org/brw/apa/d/coral-springs-great-unit/6497720391.html""}"
32,"{""name""=>""2br+spacious upstairs LOFT/2ba! Newly renovated, all amenities!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2brspacious-upstairs-loft-2ba/6495150360.html""}"
33,"{""name""=>""LEASING A HOUSE AT PLANTATION"", ""link""=>""https://miami.craigslist.org/brw/apa/d/leasing-house-at-plantation/6497718720.html""}"
34,"{""name""=>""*** FIRST MONTH FREE *** ONLY $250 DEPOSIT *** FAST APPROVAL***"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/first-month-free-only-250/6497717769.html""}"
35,"{""name""=>""2/2 Condo in Paradise Cove"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2-2-condo-in-paradise-cove/6497717519.html""}"
36,"{""name""=>""2/2 - FEBUARY FREE-  GATED- WASHER/DRYER INSIDE- HURRY"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2-2-febuary-free-gated-washer/6467410980.html""}"
37,"{""name""=>""Sought-after 2 Bed 1.5 Bath Apartment in Doral MUST SEE"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/sought-after-2-bed-15-bath/6497717081.html""}"
38,"{""name""=>""Reduce price beautiful condo 2/1 for rent"", ""link""=>""https://miami.craigslist.org/brw/apa/d/reduce-price-beautiful-condo/6465463873.html""}"
39,"{""name""=>""2 bedroom - Emergency Maintenance, Upgraded Lighting Packages, Alarm"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/2-bedroom-emergency/6497716241.html""}"
40,"{""name""=>""►►► SUPER PRICE  ON THIS UNIT MARGATE: 2bed/2bath"", ""link""=>""https://miami.craigslist.org/brw/apa/d/super-price-on-this-unit/6497716129.html""}"
41,"{""name""=>""+_)Charming front corner spacious apartment"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/charming-front-corner/6494750042.html""}"
42,"{""name""=>""RENTING A HOUSE * PEMBROKE PINES"", ""link""=>""https://miami.craigslist.org/brw/apa/d/renting-house-pembroke-pines/6497715622.html""}"
43,"{""name""=>""*** FIRST MONTH FREE *** ONLY $250 DEPOSIT *** FAST APPROVAL***"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/first-month-free-only-250/6497715505.html""}"
44,"{""name""=>""3 Bedroom & 2 Bathroom Miramar Townhouse $1,675"", ""link""=>""https://miami.craigslist.org/brw/apa/d/3-bedroom-2-bathroom-miramar/6497714775.html""}"
45,"{""name""=>""WINDSOR AT DORAL 2BR/2BA  1 MONTH FREE RENT!!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/windsor-at-doral-2br-2ba-1/6497714236.html""}"
46,"{""name""=>""▼▼ BRICKELL unbeatable offer Pets-Ok"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/brickell-unbeatable-offer/6497700910.html""}"
47,"{""name""=>""FURNISHED 3/3.5 TERRACES OF THE ISLE CONDO"", ""link""=>""https://miami.craigslist.org/brw/apa/d/furnished-3-35-terraces-of/6497713789.html""}"
48,"{""name""=>""Beautiful 2 bedroom 2 bath second floor unit"", ""link""=>""https://miami.craigslist.org/brw/apa/d/beautiful-2-bedroom-2-bath/6475923509.html""}"
49,"{""name""=>""2/2***PALM GARDENS"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/2-2palm-gardens/6497713567.html""}"
50,"{""name""=>"">>>>>ATTENTION RENTER'S SPECIAL---HALF MONTH RENT FREE<<"", ""link""=>""https://miami.craigslist.org/brw/apa/d/attention-renters-special/6497713382.html""}"
51,"{""name""=>""2 Bedroom, 1 Bath ground floor apartment"", ""link""=>""https://miami.craigslist.org/brw/apa/d/2-bedroom-1-bath-ground-floor/6475904938.html""}"
52,"{""name""=>""VALLHALA VILLAGE"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/vallhala-village/6497694826.html""}"
53,"{""name""=>""SPACIOUS 2 BEDROOM APARTMENT IN MIAMI BEACH"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/spacious-2-bedroom-apartment/6497648398.html""}"
54,"{""name""=>""Large 2 story townhouse,"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/large-2-story-townhouse/6497657977.html""}"
55,"{""name""=>""Boca Raton 33433 Beautiful Home<Sp MOVE IN READY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/boca-ratonbeautiful-homesp/6497666498.html""}"
56,"{""name""=>""2/1 CONDO FOR RENT (PARA RENTA) $1200"", ""link""=>""https://miami.craigslist.org/brw/apa/d/2-1-condo-for-rent-para-renta/6497711687.html""}"
57,"{""name""=>""Move in March 15th! ONLY $99 DEP - Gorgeous 3BR/2.5BA/1Garage Townhome"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/move-in-march-15th-only-99/6497711548.html""}"
58,"{""name""=>""***ONLY $99  DEPOSIT*** NEW BUILDING***FAST APPROVAL***"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/only-99-deposit-new/6467428995.html""}"
59,"{""name""=>""URBAN VILLAGE ***** Brand New Townhouse"", ""link""=>""https://miami.craigslist.org/brw/apa/d/urban-village-brand-new/6497710054.html""}"
60,"{""name""=>""3 bedroom 2 bath"", ""link""=>""https://miami.craigslist.org/brw/apa/d/3-bedroom-2-bath/6468989995.html""}"
61,"{""name""=>""3 bedroom 2 bath"", ""link""=>""https://miami.craigslist.org/brw/apa/d/3-bedroom-2-bath/6469280895.html""}"
62,"{""name""=>""3 bedroom 2 bath"", ""link""=>""https://miami.craigslist.org/brw/apa/d/3-bedroom-2-bath/6464587153.html""}"
63,"{""name""=>""Pets Welcome! See Pictures, Fully Renovated Condo, Like New, EZ Move"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/pets-welcome-see-pictures/6494953168.html""}"
64,"{""name""=>""Lake views available, Full size washer and dryer, Eat In Kitchen"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/lake-views-available-full/6497709421.html""}"
65,"{""name""=>""☉ Glorious and spacious 3 bed room house* in near the park! ☉"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/glorious-and-spacious-3-bed/6491281508.html""}"
66,"{""name""=>""▸ Lovely and roomy 3 bed room home in near the park! ▸"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/lovely-and-roomy-3-bed-room/6491283813.html""}"
67,"{""name""=>""☿ Amazing house! for ȑeǹt In lovely center location!!! ☿"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/amazing-house-for-et-in/6491282646.html""}"
68,"{""name""=>""2/2.5 Townhome in Sandlewood. Like New!!!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2-25-townhome-in-sandlewood/6497708310.html""}"
69,"{""name""=>""3/bd 2/ba, Remodeled kitchen, fenced in front and back yard, Miami FL"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/3-bd-2-ba-remodeled-kitchen/6480623959.html""}"
70,"{""name""=>""**FIRST MONTH FREE**MOVE  WITH  ONLY  $500 TO A BRAND NEW APARTMENT**"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/first-month-freemove-with/6497707800.html""}"
71,"{""name""=>""Beautiful three bedrooms two baths home ready for immediate occupancy."", ""link""=>""https://miami.craigslist.org/mdc/apa/d/beautiful-three-bedrooms-two/6497686912.html""}"
72,"{""name""=>""☞☞ Lookie Lookie!... 2X2...FEB RENT FREE!!! ☞☞"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/lookie-lookie-2x2feb-rent/6497707668.html""}"
73,"{""name""=>""Luxurious and fully furnished loft pool, lobby, elevator, and PARKING"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/luxurious-and-fully-furnished/6482371079.html""}"
74,"{""name""=>""Deerfield Beach 33442 SUPER PRICE  ON THIS RENTAL Located In The"", ""link""=>""https://miami.craigslist.org/brw/apa/d/deerfield-beachsuper-price-on/6497661983.html""}"
75,"{""name""=>""LAKEFRONT>>>>  822 Pipers Cay Drive, West Palm Beach, FL 33415"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/lakefront-822-pipers-cay/6497707275.html""}"
76,"{""name""=>""350 Las Olas Place Condominium - Top Location in Fort Lauderdale"", ""link""=>""https://miami.craigslist.org/brw/apa/d/350-las-olas-place/6497707023.html""}"
77,"{""name""=>""3/2 POOL HOME............124 N Dory Road N, North Palm Beach, FL 33408"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/3-2-pool-home124-dory-road/6497706602.html""}"
78,"{""name""=>""432 Macy Street, West Palm Beach, FL 33405"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/432-macy-street-west-palm/6496543327.html""}"
79,"{""name""=>""BEAUTIFUL UPGRADED 2/2 WITH 1 CAR GARAGE FOR RENT!!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/beautiful-upgraded-2-2-with-1/6497513091.html""}"
80,"{""name""=>""2nd Floor 2/2 >6458 Emerald Dunes Drive 203, West Palm Beach, FL 33411"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2nd-flooremerald-dunes-drive/6497517148.html""}"
81,"{""name""=>""GREAT 3 BEDROOM SINGLE FAMILY HOME WITH FENCED BACKYARD & MORE!!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/great-3-bedroom-single-family/6497522612.html""}"
82,"{""name""=>""✪ ☛  Luxurious 2/2 Condo"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/luxurious-2-2-condo/6497561340.html""}"
83,"{""name""=>""NO HOA!! 3/1.5 HOUSE >>4121 Colt Lane, West Palm Beach, FL 33406 >>"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/no-hoa-3-15-house-4121-colt/6497527068.html""}"
84,"{""name""=>""$2100 3B/2B FANTASTIC LUXURY IN DORAL"", ""link""=>""https://miami.craigslist.org/brw/apa/d/2100-3b-2b-fantastic-luxury/6469758628.html""}"
85,"{""name""=>""UPGRADED SINGLE FAMILY HOME LOCATED IN THE HEART OF JUPITER FOR RENT!!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/upgraded-single-family-home/6497533628.html""}"
86,"{""name""=>""$1835 2B/2B NOTABLE LUXURY IN DORAL"", ""link""=>""https://miami.craigslist.org/brw/apa/d/1835-2b-2b-notable-luxury-in/6476820140.html""}"
87,"{""name""=>""►EXCELLENT 1/F APARTMENT - BRAND NEW FLOORS***"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/excellent-1-apartment-brand/6497601864.html""}"
88,"{""name""=>""$1515 2B/2B MAGNIFICENT LUXURY IN KENDALL"", ""link""=>""https://miami.craigslist.org/brw/apa/d/1515-2b-2b-magnificent-luxury/6467689856.html""}"
89,"{""name""=>""→→→COMPLETELY UPDATED 2/2 IN PALM AIRE, LAKE AND POOL VIEWS"", ""link""=>""https://miami.craigslist.org/brw/apa/d/completely-updated-2-2-in/6470151058.html""}"
90,"{""name""=>""3/2 Riverwalk Townhouse >>>2039 Tarpon Lake Way, West Palm Beach, FL 33"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/3-2-riverwalk-townhouse-2039/6496190647.html""}"
91,"{""name""=>""Upgraded 3 bedroom home >> 1009 Mohican Boulevard, Jupiter, FL 33458 >"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/upgraded-3-bedroom-home-1009/6497539284.html""}"
92,"{""name""=>""No HOA!! quick approval centrally located 3 bedroom single family home"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/no-hoa-quick-approval/6497544211.html""}"
93,"{""name""=>""▼▼ Pets-Ok amazing and, spacious unit THE AXIS ON BRICKELL COND"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/pets-ok-amazing-and-spacious/6497684744.html""}"
94,"{""name""=>""Ceramic Tile Flooring, Screened-In Porches, Spacious Floorplan"", ""link""=>""https://miami.craigslist.org/brw/apa/d/ceramic-tile-flooring/6495246406.html""}"
95,"{""name""=>""$1835 2B/2B RARE LUXURY IN DORAL"", ""link""=>""https://miami.craigslist.org/brw/apa/d/1835-2b-2b-rare-luxury-in/6467706532.html""}"
96,"{""name""=>""Gated community 2/2 with many UPGRADES and 1 car garage for rent!!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/gated-community-2-2-with-many/6497553484.html""}"
97,"{""name""=>""SPACIOUS 2/2.5 TWO STORY TOWNHOUSE WITH FENCED COURTYARD & MORE!!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/spacious-2-25-two-story/6497558668.html""}"
98,"{""name""=>""Pembroke Pines 3bd/2ba (33026) MOVE IN READY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/pembroke-pines-3bd-2bamove-in/6497679659.html""}"
99,"{""name""=>""→→→SPACIOUS 3/2 WITH LARGE MASTER BR, EAT IN KITCHEN, W/D IN U"", ""link""=>""https://miami.craigslist.org/brw/apa/d/spacious-3-2-with-large/6479499918.html""}"
100,"{""name""=>""Waterfront 3 bedroom 2 bath tri-level townhome with a 1 car garage!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/waterfront-3-bedroom-2-bath/6497606884.html""}"
101,"{""name""=>""Perfect Location, Pets Welcome, Near Okeeheelee Park and Golf Course"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/perfect-location-pets-welcome/6497702515.html""}"
102,"{""name""=>""Brickell Downtown Bad Credit OK $500 deposit"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/brickell-downtown-bad-credit/6467334312.html""}"
103,"{""name""=>""Large Renovated 2 b/r with Granite Kitchen, EZ Move In come see today"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/large-renovated-2-r-with/6497701394.html""}"
104,"{""name""=>""Quartz Counters, Stainless Steel Appliances, Wood Flooring and more!!"", ""link""=>""https://miami.craigslist.org/brw/apa/d/quartz-counters-stainless/6491787455.html""}"
105,"{""name""=>""5085 NW 7th St #1215"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/5085-nw-7th-st-1215/6491842044.html""}"
106,"{""name""=>""Spacious, newly renovated 2/1 that features tiled floors throughout"", ""link""=>""https://miami.craigslist.org/brw/apa/d/spacious-newly-renovated-2-1/6497673074.html""}"
107,"{""name""=>""SPACIOUS & CLEAN 2/1 APT IN WILTON MANORS - PET FRIENDLY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/spacious-clean-2-1-apt-in/6490086644.html""}"
108,"{""name""=>""2bd/2ba (33432) Boca Raton FANTASTIC UNIT"", ""link""=>""https://miami.craigslist.org/brw/apa/d/2bd-2baboca-raton-fantastic/6497700278.html""}"
109,"{""name""=>""SPACIOUS & MODERN 2/1 DUPLEX IN OAKLAND PARK - PET FRIENDLY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/spacious-modern-2-1-duplex-in/6487678572.html""}"
110,"{""name""=>""Spacious with excellent amenities, 2 courtyard, great location."", ""link""=>""https://miami.craigslist.org/pbc/apa/d/spacious-with-excellent/6497521423.html""}"
111,"{""name""=>""Great townhouse 3/2.5"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/great-townhouse-3-25/6497670625.html""}"
112,"{""name""=>""14032 Wellington Trace Wellington, FL"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/14032-wellington-trace/6496447484.html""}"
113,"{""name""=>""SPACIOUS & MODERN 3/2 DUPLEX IN FT. LAUDERDALE - PET FRIENDLY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/spacious-modern-3-2-duplex-in/6487704157.html""}"
114,"{""name""=>""→→→CENTRALLY LOCATED 3/2 CONDO IN GATED COMMUNITY VISCONTI"", ""link""=>""https://miami.craigslist.org/brw/apa/d/centrally-located-3-2-condo/6470171421.html""}"
115,"{""name""=>""Beautiful 3 Bed 2.5 Bath Apartment in Doral LOOK"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/beautiful-3-bed-25-bath/6497699222.html""}"
116,"{""name""=>""SPACIOUS & MODERN 3/3.5 TOWNHOME IN FT. LAUDERDALE - PET FRIENDLY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/spacious-modern-3-35-townhome/6488692717.html""}"
117,"{""name""=>""FABULOUS 3BR/2BA+1 CAR GARAGE TOWNHOME - ONLY $99 DEPOSIT - MOVE NOW"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/fabulous-3br-2ba1-car-garage/6497698946.html""}"
118,"{""name""=>""MODERN & SPACIOUS 3/2 HOME IN FT. LAUDERDALE - PET FRIENDLY"", ""link""=>""https://miami.craigslist.org/brw/apa/d/modern-spacious-3-2-home-in/6488706380.html""}"
119,"{""name""=>""♥ Boca Raton apartment for rent, Car Wash Center, Walk-in Closets"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/boca-raton-apartment-for-rent/6497673917.html""}"
120,"{""name""=>""Renovated Duplex 2 bathroom 1 bath ,new central Air condition"", ""link""=>""https://miami.craigslist.org/brw/apa/d/renovated-duplex-2-bathroom-1/6497698355.html""}"
